Customer ID,actual_future_spend,purchase_probability,predicted_spend_if_buying,expected_clv,clv_tier,recency,frequency,monetary_total,monetary_avg,tenure,avg_basket_size,product_diversity,spend_per_tenure_day,purchase_rate_per_month
16330,202.94999999999996,0.45236068307339516,194.9305784970418,88.1789296408139,Medium,21,6,431.38,4.493541666666666,572,2.1145833333333335,86,0.7541608391608392,0.3146853146853147
12586,196.94000000000008,0.3552648088800838,536.0055560836261,190.42391144071246,High,284,3,1865.73,22.47867469879518,632,7.325301204819277,76,2.952104430379747,0.14240506329113925
14114,0.0,0.50342901766897,373.73779882370167,188.15045292757924,High,183,7,1364.09,18.43364864864865,516,8.783783783783784,72,2.6435852713178294,0.4069767441860465
16298,483.89999999999986,0.40524934175897676,273.71135136157307,110.92134497123749,Medium,96,5,601.8,22.288888888888888,351,5.925925925925926,20,1.7145299145299144,0.4273504273504274
12837,0.0,0.37784697429273495,289.94440939065714,109.55461780135384,Medium,82,2,688.41,7.482717391304347,478,2.2717391304347827,83,1.4401882845188283,0.12552301255230125
13717,489.01999999999987,0.6685809780131189,370.81653907792224,247.92088436015717,High,38,6,1274.28,13.701935483870967,395,18.838709677419356,82,3.2260253164556962,0.4556962025316456
17076,506.8799999999998,0.3521084465684275,244.56681293305982,86.1140405840509,Medium,183,5,735.87,18.86846153846154,645,8.487179487179487,27,1.1408837209302325,0.23255813953488372
14820,367.5199999999999,0.46560688770626707,268.3732638052114,124.95644010391746,Medium,82,6,907.24,21.09860465116279,587,12.976744186046512,38,1.5455536626916524,0.30664395229982966
18138,0.0,0.22790998402723578,200.34116953905237,45.65975274964316,Low,204,1,152.65,19.08125,204,4.75,8,0.7482843137254902,0.14705882352941177
13762,0.0,0.4347439000399181,573.78167849444,249.44808468012326,High,128,5,2472.48,70.64228571428572,608,74.51428571428572,23,4.066578947368421,0.2467105263157895
13691,0.0,0.30675546127242637,254.5241230098822,78.07666475885621,Medium,305,1,212.78,3.9403703703703705,305,2.685185185185185,54,0.6976393442622951,0.09836065573770493
15798,0.0,0.20532246627727066,499.5039217273765,102.5593771242337,Medium,402,3,1535.37,18.49843373493976,591,11.024096385542169,73,2.597918781725888,0.15228426395939088
16902,0.0,0.6869861464375853,777.6228868460986,534.2161504160717,Top,25,1,1706.88,38.79272727272728,25,14.295454545454545,43,68.2752,1.2
